05:09:23.281 Scope                     [004] Starting initialization - v6.6.6.8
05:09:23.288 Scope                     [004] SiteElevation Get => 1.0
05:09:23.293 Scope                     [004] SiteLatitude Get => 37.78
05:09:23.299 Scope                     [004] SiteLongitude Get => 124.80
05:09:23.314 Scope                     [004] SiteElevation Get => 1.0
05:09:23.319 Scope                     [004] SiteLatitude Get => 37.78
05:09:23.326 Scope                     [004] SiteLongitude Get => 124.80
05:09:23.328 Scope                     [004] Completed initialization
05:09:23.336 Scope                     [004] InterfaceVersion Get => 3
05:09:26.997 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:26.997 Scope                     [004] Action > (Serial:PassThroughCommand, :GVN#,#) called
05:09:26.998 Serial                    [004] SendMessage Nr0002 > (:GVN#,#) - awaiting lock
05:09:26.998 Serial                    [004] SendMessage Nr0002 - acquired lock
05:09:26.998 Serial                    [004] SendMessage Nr0002 - Sending command, expecting HashTerminated reply for ':GVN#'
05:09:27.016 Serial                    [004] SendMessage Nr0002 - Reply: V1.13.13
05:09:27.016 Serial                    [004] SendMessage Nr0002 - Releasing lock
05:09:27.016 Serial                    [004] SendMessage Nr0002 < Released lock
05:09:27.016 Scope                     [004] Action < result: V1.13.13
05:09:27.016 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:27.016 Scope                     [004] Action > (Serial:PassThroughCommand, :XGM#,#) called
05:09:27.016 Serial                    [004] SendMessage Nr0003 > (:XGM#,#) - awaiting lock
05:09:27.016 Serial                    [004] SendMessage Nr0003 - acquired lock
05:09:27.016 Serial                    [004] SendMessage Nr0003 - Sending command, expecting HashTerminated reply for ':XGM#'
05:09:27.080 Serial                    [004] SendMessage Nr0003 - Reply: Mega,NEMA|16|400,NEMA|16|400,NO_GPS,AUTO_AZ_ALT,NO_GYRO,LCD_KEYPAD,NO_INFO_DISP,NO_FOC,HSAH,HSAV,NO_ENDSW,
05:09:27.080 Serial                    [004] SendMessage Nr0003 - Releasing lock
05:09:27.080 Serial                    [004] SendMessage Nr0003 < Released lock
05:09:27.080 Scope                     [004] Action < result: Mega,NEMA|16|400,NEMA|16|400,NO_GPS,AUTO_AZ_ALT,NO_GYRO,LCD_KEYPAD,NO_INFO_DISP,NO_FOC,HSAH,HSAV,NO_ENDSW,
05:09:27.080 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:27.080 Scope                     [004] Action > (Serial:PassThroughCommand, :XGR#,#) called
